Topic_id,Erik_id,Erik_video_title,Video_title,match_score
10550209,161,9. Repertory and Case Work - Caroline Gaskin,9. Repertory and Case Work - Caroline Gaskin.mp4,86.74
10170111,172,7. Bites and Stings,Bites & Stings.mp4,50.31
10290103,281,04. Introduction to Case Mapping - Mike Bridger,Introduction to Case Mapping.mp4,51.94
10460201,56,DAY 2 - 1615 Tony Hurley Arsenicum Album,Arsenicum Album with Tony Hurley.mp4,50.31
10460207,368,03. Spongia and Related Remedies - Tony Hurley,Thea and Related Remedies with Tony Hurley.mp4,50.56
10460213,424,08. Review of the Constitutions - Tony Hurley,Review of the Constitutions With Tony Hurley.mp4,67.35
10460219,184,03. Carcinosin - Tony Hurley,Carcinosin with Tony Hurley.mp4,51.01
10460225,368,03. Spongia and Related Remedies - Tony Hurley,Thuja and Related Remedies with Tony Hurley.mp4,50.56
10460227,336,The Magnesiums Tony Hurley,The Magnesiums with Tony Hurley.mp4,70.93
10460501,390,04. Bowel Nosodes (Part 1) - Hilery Dorrian,Bowel Nosodes Q&A with Hilery Dorrian.mp4,50.31
10460501,392,05. Bowel Nosodes (Part 2) - Hilery Dorrian-,Bowel Nosodes Q&A with Hilery Dorrian.mp4,50.31
10460507,291,04. Organ Support - Dion Tabrett,Organ Support in Practice- Dion Tabrett.mp4,51.94
10460509,269,02. Remedy Mapping II - Mike Bridger,Remedy & Case Mapping- Mike Bridger.mp4,50.31
10460509,283,06. Case & Remedy Mapping Part 1 - Mike Bridger,Remedy & Case Mapping- Mike Bridger.mp4,63.28
10460509,284,07. Case Remedy & Mapping Part 2 - Mike Bridger,Remedy & Case Mapping- Mike Bridger.mp4,63.28
10460701,379,03. Practice Building - Marcus Fernandez,Practice Building with Marcus Fernandez.mp4,58.03
10480201,87,1. Introduction to Homeopathy - Tony Hurley,1. Introduction to Homeopathy - Tony Hurley.mp4,84.66
10480201,88,2. Introduction to Materia Medica - Tony Hurley,1. Introduction to Homeopathy - Tony Hurley.mp4,50.31
10480202,5,13.45 Introduction to Materia Medica - Tony Hurley v2,2. Introduction to Materia Medica - Tony Hurley.mp4,61.52
10480202,87,1. Introduction to Homeopathy - Tony Hurley,2. Introduction to Materia Medica - Tony Hurley.mp4,51.94
10480202,88,2. Introduction to Materia Medica - Tony Hurley,2. Introduction to Materia Medica - Tony Hurley.mp4,86.74
10480203,89,3. Sulphur - Tony Hurley,3. Sulphur - Tony Hurley.mp4,77.65
10480204,7,15.00 The History of Homeopathy Dion Tabrett v2 [SMALLER],The History of Homeopathy - Dion Tabrett.mp4,56.98
10480204,90,4. The History of Homeopathy - Dion Tabrett,The History of Homeopathy - Dion Tabrett.mp4,86.74
10480205,1,10-00 The Law of Similars Carol Boyce v2,5. The Law of Similars - Carol Boyce.mp4,61.52
10480205,91,5. The Law of Similars - Carol Boyce,5. The Law of Similars - Carol Boyce.mp4,86.74
10480206,92,6. Arnica and Calendula - Carol Boyce,6. Arnica and Calendula - Carol Boyce.mp4,84.66
10480207,93,7. The Law of Cure - Mike Bridger,7. The Law of Cure - Mike Bridger.mp4,86.74
10480208,94,8. Calc Carb - Tony Hurley,8. Calc Carb - Tony Hurley.mp4,81.82
10490201,96,1 - Sian Moss- Intro to Anatomy,"1 - Sian Moss- Intro to Anatomy, Physiology & Pathology.mp4",67.65
10490202,97,2 - Dion Tabrett- Potency,2 - Dion Tabrett- Potency.mp4,77.65
10490203,99,4 - Tricia Allen- Acute Case taking,3 - Tricia Allen- Acute Case taking.mp4,84.66
10490203,124,9. Chronic Case Taking - Tricia Allen,3 - Tricia Allen- Acute Case taking.mp4,58.03
10490203,256,09. Children's Case Taking - Tricia Allen,3 - Tricia Allen- Acute Case taking.mp4,50.31
10490203,257,10. Children's Case Taking - Tricia Allen,3 - Tricia Allen- Acute Case taking.mp4,50.31
10490204,100,5 - Robert Bridge- Gelsemium,4 - Robert Bridge- Gelsemium.mp4,77.65
10490205,32,SUN 1000 Ralf Jeutter The Concept of HEalth and Disease-005,5 - Ralf Jeutter- The Concept of Health & Disease I Part 1.mp4,54.80
10490205,33,SUN 1130 Ralf Jeutter The Concept of Health and Disease Part 2-003,5 - Ralf Jeutter- The Concept of Health & Disease I Part 1.mp4,63.52
10490205,101,6 - Ralf Jeutter- The Concept of Health & Disease I Part 1,5 - Ralf Jeutter- The Concept of Health & Disease I Part 1.mp4,89.55
